"VM","Disk","Capacity MiB","Thin","Path"
"vm-app-01","Hard disk 1","256000","True","[vsan-demo-01] vm-app-01/vm-app-01.vmdk"
"vm-app-02","Hard disk 1","409600","True","[vsan-demo-01] vm-app-02/vm-app-02.vmdk"
"vm-db-01","Hard disk 1","102400","True","[vsan-demo-01] vm-db-01/vm-db-01.vmdk"
"vm-db-01","Hard disk 2","921600","True","[vsan-demo-01] vm-db-01/vm-db-01_1.vmdk"
"vm-web-01","Hard disk 1","204800","True","[vsan-demo-02] vm-web-01/vm-web-01.vmdk"
"vm-util-01","Hard disk 1","153600","True","[vsan-demo-02] vm-util-01/vm-util-01.vmdk"
"vm-bi-01","Hard disk 1","307200","True","[vsan-demo-02] vm-bi-01/vm-bi-01.vmdk"
"vm-file-01","Hard disk 1","512000","True","[nimble-demo-01] vm-file-01/vm-file-01.vmdk"
"vm-file-01","Hard disk 2","1024000","True","[nimble-demo-02] vm-file-01/vm-file-01_1.vmdk"
"vm-backup-01","Hard disk 1","512000","True","[nimble-demo-02] vm-backup-01/vm-backup-01.vmdk"
"vm-legacy-01","Hard disk 1","614400","False","[san-fc-demo-01] vm-legacy-01/vm-legacy-01.vmdk"
"vm-orphan-01","Hard disk 1","153600","True","[decommissioned-ds] vm-orphan-01/vm-orphan-01.vmdk"
