"VM","Powerstate","Template","CPUs","Memory","Disks","In Use MiB","Provisioned MiB","Path","Datacenter","Cluster","OS according to the VMware Tools"
"vm-app-01","poweredOn","False","4","8192","1","204800","256000","[vsan-demo-01] vm-app-01/vm-app-01.vmx","dc-demo","cluster-demo-01","Ubuntu Linux (64-bit)"
"vm-app-02","poweredOn","False","4","8192","1","307200","409600","[vsan-demo-01] vm-app-02/vm-app-02.vmx","dc-demo","cluster-demo-01","Ubuntu Linux (64-bit)"
"vm-db-01","poweredOn","False","8","32768","2","819200","1024000","[vsan-demo-01] vm-db-01/vm-db-01.vmx","dc-demo","cluster-demo-01","Red Hat Enterprise Linux 8 (64-bit)"
"vm-web-01","poweredOff","False","2","4096","1","153600","204800","[vsan-demo-02] vm-web-01/vm-web-01.vmx","dc-demo","cluster-demo-02","Ubuntu Linux (64-bit)"
"vm-util-01","poweredOn","False","2","4096","1","102400","153600","[vsan-demo-02] vm-util-01/vm-util-01.vmx","dc-demo","cluster-demo-02","Ubuntu Linux (64-bit)"
"vm-bi-01","poweredOn","False","4","16384","1","256000","307200","[vsan-demo-02] vm-bi-01/vm-bi-01.vmx","dc-demo","cluster-demo-02","Microsoft Windows Server 2019 (64-bit)"
"vm-file-01","poweredOn","False","4","8192","2","1048576","1536000","[nimble-demo-01] vm-file-01/vm-file-01.vmx","dc-demo","cluster-demo-01","Microsoft Windows Server 2022 (64-bit)"
"vm-backup-01","poweredOn","False","4","8192","1","409600","512000","[nimble-demo-02] vm-backup-01/vm-backup-01.vmx","dc-demo","cluster-demo-02","Ubuntu Linux (64-bit)"
"vm-legacy-01","poweredOn","False","2","4096","1","512000","614400","[san-fc-demo-01] vm-legacy-01/vm-legacy-01.vmx","dc-demo","cluster-demo-01","CentOS 7 (64-bit)"
"vm-orphan-01","poweredOn","False","2","4096","1","102400","153600","[decommissioned-ds] vm-orphan-01/vm-orphan-01.vmx","dc-demo","cluster-demo-01","Ubuntu Linux (64-bit)"
