"VM","Disk","Capacity MiB","Consumed MiB","Free MiB"
"vm-app-01","/","204800","174080","30720"
"vm-app-02","/","307200","261120","46080"
"vm-db-01","/","81920","61440","20480"
"vm-db-01","/data","737280","634880","102400"
"vm-web-01","/","153600","131072","22528"
"vm-util-01","/","102400","87040","15360"
"vm-bi-01","C:\","256000","218112","37888"
"vm-file-01","E:\","1048576","890880","157696"
"vm-backup-01","/backup","409600","348160","61440"
"vm-legacy-01","/","512000","435200","76800"
"vm-orphan-01","/","102400","87040","15360"
